,ICE_IME_id,ICE_IME_id_need_manual_curation,Segment_number,Comments_ICE_IME_structure,Is_hit_blast,Is_hit_HMM,CDS_num,Genome_accession,Genome_accession_rank,CDS_locus_tag,CDS_protein_id,CDS_strand,CDS_start,CDS_end,CDS_length,Is_pseudo,CDS_Protein_type,CDS_Protein_type_blast,Description_of_blast_most_similar_ref_SP,Id_of_blast_most_similar_ref_SP,Length_of_blast_most_similar_ref_SP,Blast_ali_length,Blast_ali_start_CDS,Blast_ali_end_CDS,Blast_ali_start_Query_blast,Blast_ali_end_Query_blast,Blast_ali_identity_perc,Blast_ali_E-value,Blast_ali_bitscore,CDS_coverage_blast,Blast_ali_coverage_most_similar_ref_SP,Protein_type_of_blast_most_similar_ref_SP,Associated_element_type_of_blast_most_similar_ref_SP,ICE_superfamily_of_most_similar_ref_SP,ICE_family_of_most_similar_ref_SP,IME_superfamily_of_most_similar_ref_SP,Relaxase_family_domain_of_most_similar_ref_SP,Relaxase_family_MOB_of_most_similar_ref_SP,Coupling_type_of_most_similar_ref_SP,False_positives,SP_blast_validation,Use_annotation,Protein_type_of_matching_HMM_profile,Description_of_matching_HMM_profile,Profile_name,Length_of_matching_HMM_profile,HMM_ali_i-Evalue,HMM_ali_E-value,HMM_ali_Score,HMM_ali_Bias,HMM_ali_Global_score,HMM_ali_Global_bias,HMM_coverage,CDS_coverage_hmm,Genome,Population
52,,__IMEICEID_BasicEMStructure__1__,1,The SP AIAEHLLJ_00503 seems to be an isolated coupling protein and is therefore not reported as an ICE / IME structure by ICEscreen. Please manually check if it is a false positive or for the potential presence of other undetected SP in its genomic neighborhood.,0,1,489,KRP155G02c2sulfuri,1,AIAEHLLJ_00503,-,-,469709,471112,467,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,1.1e-29,3.9e-30,89.4,0.2,90.9,0.4,86.04,38.33,KRP1_SE055_G02_cluster2_sulfuri,sulfuri
53,,,2,,1,1,1123,KRP155G02c2sulfuri,1,AIAEHLLJ_01149,-,-,1086397,1087959,520,-,Serine integrase,Serine integrase,Serine integrase,AAO82010,537.0,527.0,3.0,472.0,8.0,508.0,25.81,1.2399999999999999e-28,111.0,90.38,93.3,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Serine integrase,Serine recombinase,Recombinase,104,7.1e-18,3.2e-18,51.3,2.0,52.4,3.0,100.0,16.73,KRP1_SE055_G02_cluster2_sulfuri,sulfuri
54,,__IMEICEID_BasicEMStructure__1__,1,The SP NOLIIFEK_00736 seems to be an isolated coupling protein and is therefore not reported as an ICE / IME structure by ICEscreen. Please manually check if it is a false positive or for the potential presence of other undetected SP in its genomic neighborhood.,0,1,722,KRP155G05c3sulfuri,1,NOLIIFEK_00736,-,-,681015,682418,467,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,1.1e-29,3.9e-30,89.4,0.2,90.9,0.4,86.04,38.33,KRP1_SE055_G05_cluster3_sulfuri,sulfuri
55,,,2,,1,1,1277,KRP155G05c3sulfuri,1,NOLIIFEK_01299,-,-,1217127,1218689,520,-,Serine integrase,Serine integrase,Serine integrase,AAO82010,537.0,527.0,3.0,472.0,8.0,508.0,25.81,1.2399999999999999e-28,111.0,90.38,93.3,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Serine integrase,Serine recombinase,Recombinase,104,7.1e-18,3.2e-18,51.3,2.0,52.4,3.0,100.0,16.73,KRP1_SE055_G05_cluster3_sulfuri,sulfuri
56,,ID_1 ID_2,1,"Integrase PIFMFMBG_00072 could be attributed to multiple possibly nested ICE IME structures (ID_1, ID_2), please manually check. ",1,1,66,KRP155G05c4Orange,1,PIFMFMBG_00072,-,-,65076,66149,357,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO81971,382.0,363.0,10.0,333.0,12.0,365.0,25.34,1.86e-19,82.0,90.76,92.67,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,9.8e-42,9.1e-42,128.8,0.3,128.9,1.6,98.26,45.94,KRP1_SE055_G05_cluster4_Orange,Orange
57,ID_1,,1,,0,1,71,KRP155G05c4Orange,1,PIFMFMBG_00077,-,-,68509,69840,443,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,1.4e-10,8.7e-11,26.9,0.0,27.6,0.0,83.78,42.66,KRP1_SE055_G05_cluster4_Orange,Orange
58,ID_2,,1,,0,1,76,KRP155G05c4Orange,1,PIFMFMBG_00082,-,-,72669,74069,466,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,5.2e-30,3.3e-30,90.5,0.0,91.1,0.0,93.24,41.85,KRP1_SE055_G05_cluster4_Orange,Orange
59,,,2,,1,1,1246,KRP155G05c4Orange,1,PIFMFMBG_01275,-,-,1182204,1183235,343,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO82259,379.0,273.0,57.0,290.0,80.0,346.0,26.01,5.44e-11,56.6,68.22,70.45,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,1.7000000000000002e-22,5.3e-23,66.2,0.0,67.8,0.0,84.88,41.69,KRP1_SE055_G05_cluster4_Orange,Orange
60,ID_1,,1,,0,1,96,KRP155G06c1Orange,1,EIPEIPPE_00097,-,+,81620,83020,466,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,5.2e-30,3.3e-30,90.5,0.0,91.1,0.0,93.24,41.85,KRP1_SE055_G06_cluster1_Orange,Orange
61,ID_2,,1,,0,1,101,KRP155G06c1Orange,1,EIPEIPPE_00102,-,+,85849,87180,443,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,1.4e-10,8.7e-11,26.9,0.0,27.6,0.0,83.78,42.66,KRP1_SE055_G06_cluster1_Orange,Orange
62,,ID_1 ID_2,1,"Integrase EIPEIPPE_00107 could be attributed to multiple possibly nested ICE IME structures (ID_1, ID_2), please manually check. ",1,1,106,KRP155G06c1Orange,1,EIPEIPPE_00107,-,+,89540,90613,357,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO81971,382.0,363.0,10.0,333.0,12.0,365.0,25.34,1.86e-19,82.0,90.76,92.67,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,9.8e-42,9.1e-42,128.8,0.3,128.9,1.6,98.26,45.94,KRP1_SE055_G06_cluster1_Orange,Orange
63,,,2,,1,1,1277,KRP155G06c1Orange,1,EIPEIPPE_01306,-,+,1211889,1212920,343,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO82259,379.0,273.0,57.0,290.0,80.0,346.0,26.01,5.44e-11,56.6,68.22,70.45,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,1.7000000000000002e-22,5.3e-23,66.2,0.0,67.8,0.0,84.88,41.69,KRP1_SE055_G06_cluster1_Orange,Orange
64,,__IMEICEID_BasicEMStructure__1__,1,The SP FGBPFLCH_00789 seems to be an isolated coupling protein and is therefore not reported as an ICE / IME structure by ICEscreen. Please manually check if it is a false positive or for the potential presence of other undetected SP in its genomic neighborhood.,0,1,776,KRP155G06c2sulfuri,1,FGBPFLCH_00789,-,-,736600,738003,467,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,1.1e-29,3.9e-30,89.4,0.2,90.9,0.4,86.04,38.33,KRP1_SE055_G06_cluster2_sulfuri,sulfuri
65,,,2,,1,1,1261,KRP155G06c2sulfuri,1,FGBPFLCH_01282,-,+,1197617,1199179,520,-,Serine integrase,Serine integrase,Serine integrase,AAO82010,537.0,527.0,3.0,472.0,8.0,508.0,25.81,1.2399999999999999e-28,111.0,90.38,93.3,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Serine integrase,Serine recombinase,Recombinase,104,7.1e-18,3.2e-18,51.3,2.0,52.4,3.0,100.0,16.73,KRP1_SE055_G06_cluster2_sulfuri,sulfuri
66,,ID_1 ID_2,1,"Integrase FHJLDOCP_00020 could be attributed to multiple possibly nested ICE IME structures (ID_1, ID_2), please manually check. ",1,1,19,KRP155G08c3Orange,1,FHJLDOCP_00020,-,-,17816,18889,357,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO81971,382.0,363.0,10.0,333.0,12.0,365.0,25.34,1.86e-19,82.0,90.76,92.67,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,9.8e-42,9.1e-42,128.8,0.3,128.9,1.6,98.26,45.94,KRP1_SE055_G08_cluster3_Orange,Orange
67,ID_1,,1,,0,1,24,KRP155G08c3Orange,1,FHJLDOCP_00025,-,-,21249,22580,443,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,1.4e-10,8.7e-11,26.9,0.0,27.6,0.0,83.78,42.66,KRP1_SE055_G08_cluster3_Orange,Orange
68,ID_2,,1,,0,1,29,KRP155G08c3Orange,1,FHJLDOCP_00030,-,-,25409,26809,466,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,5.2e-30,3.3e-30,90.5,0.0,91.1,0.0,93.24,41.85,KRP1_SE055_G08_cluster3_Orange,Orange
69,,,2,,1,1,1254,KRP155G08c3Orange,1,FHJLDOCP_01279,-,-,1194533,1195564,343,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO82259,379.0,273.0,57.0,290.0,80.0,346.0,26.01,5.44e-11,56.6,68.22,70.45,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,1.7000000000000002e-22,5.3e-23,66.2,0.0,67.8,0.0,84.88,41.69,KRP1_SE055_G08_cluster3_Orange,Orange
70,,ID_1 ID_2,1,"Integrase HMBCGFFG_00072 could be attributed to multiple possibly nested ICE IME structures (ID_1, ID_2), please manually check. ",1,1,66,KRP155G09c2Orange,1,HMBCGFFG_00072,-,-,65076,66149,357,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO81971,382.0,363.0,10.0,333.0,12.0,365.0,25.34,1.86e-19,82.0,90.76,92.67,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,9.8e-42,9.1e-42,128.8,0.3,128.9,1.6,98.26,45.94,KRP1_SE055_G09_cluster2_Orange,Orange
71,ID_1,,1,,0,1,71,KRP155G09c2Orange,1,HMBCGFFG_00077,-,-,68509,69840,443,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,1.4e-10,8.7e-11,26.9,0.0,27.6,0.0,83.78,42.66,KRP1_SE055_G09_cluster2_Orange,Orange
72,ID_2,,1,,0,1,76,KRP155G09c2Orange,1,HMBCGFFG_00082,-,-,72669,74069,466,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,5.2e-30,3.3e-30,90.5,0.0,91.1,0.0,93.24,41.85,KRP1_SE055_G09_cluster2_Orange,Orange
73,,,2,,1,1,1276,KRP155G09c2Orange,1,HMBCGFFG_01305,-,+,1215102,1216133,343,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO82259,379.0,273.0,57.0,290.0,80.0,346.0,26.01,5.44e-11,56.6,68.22,70.45,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,1.7000000000000002e-22,5.3e-23,66.2,0.0,67.8,0.0,84.88,41.69,KRP1_SE055_G09_cluster2_Orange,Orange
74,,__IMEICEID_BasicEMStructure__1__,1,The SP NPJLMIJN_00746 seems to be an isolated coupling protein and is therefore not reported as an ICE / IME structure by ICEscreen. Please manually check if it is a false positive or for the potential presence of other undetected SP in its genomic neighborhood.,0,1,737,KRP155G09c3sulfuri,1,NPJLMIJN_00746,-,+,707990,709393,467,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,1.1e-29,3.9e-30,89.4,0.2,90.9,0.4,86.04,38.33,KRP1_SE055_G09_cluster3_sulfuri,sulfuri
75,,,2,,1,1,1256,KRP155G09c3sulfuri,1,NPJLMIJN_01277,-,-,1201465,1203027,520,-,Serine integrase,Serine integrase,Serine integrase,AAO82010,537.0,527.0,3.0,472.0,8.0,508.0,25.81,1.2399999999999999e-28,111.0,90.38,93.3,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Serine integrase,Serine recombinase,Recombinase,104,7.1e-18,3.2e-18,51.3,2.0,52.4,3.0,100.0,16.73,KRP1_SE055_G09_cluster3_sulfuri,sulfuri
76,,ID_1 ID_2,1,"Integrase IJAGEPPN_00020 could be attributed to multiple possibly nested ICE IME structures (ID_1, ID_2), please manually check. ",1,1,19,KRP155G10c1Orange,1,IJAGEPPN_00020,-,-,17786,18859,357,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO81971,382.0,363.0,10.0,333.0,12.0,365.0,25.34,1.86e-19,82.0,90.76,92.67,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,9.8e-42,9.1e-42,128.8,0.3,128.9,1.6,98.26,45.94,KRP1_SE055_G10_cluster1_Orange,Orange
77,ID_1,,1,,0,1,24,KRP155G10c1Orange,1,IJAGEPPN_00025,-,-,21219,22550,443,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,1.4e-10,8.7e-11,26.9,0.0,27.6,0.0,83.78,42.66,KRP1_SE055_G10_cluster1_Orange,Orange
78,ID_2,,1,,0,1,29,KRP155G10c1Orange,1,IJAGEPPN_00030,-,-,25379,26779,466,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,5.2e-30,3.3e-30,90.5,0.0,91.1,0.0,93.24,41.85,KRP1_SE055_G10_cluster1_Orange,Orange
79,,,2,,1,1,1274,KRP155G10c1Orange,1,IJAGEPPN_01299,-,+,1208487,1209518,343,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO82259,379.0,273.0,57.0,290.0,80.0,346.0,26.01,5.44e-11,56.6,68.22,70.45,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,1.7000000000000002e-22,5.3e-23,66.2,0.0,67.8,0.0,84.88,41.69,KRP1_SE055_G10_cluster1_Orange,Orange
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KRP1_SE055_G10_cluster2_Green,Green
81,,ID_1 ID_2,1,"Integrase MLMIBEPP_00020 could be attributed to multiple possibly nested ICE IME structures (ID_1, ID_2), please manually check. ",1,1,19,KRP155G12c1Orange,1,MLMIBEPP_00020,-,-,17786,18859,357,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO81971,382.0,363.0,10.0,333.0,12.0,365.0,25.34,1.86e-19,82.0,90.76,92.67,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,9.8e-42,9.1e-42,128.8,0.3,128.9,1.6,98.26,45.94,KRP1_SE055_G12_cluster1_Orange,Orange
82,ID_1,,1,,0,1,24,KRP155G12c1Orange,1,MLMIBEPP_00025,-,-,21219,22550,443,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp1,110,3.3e-12,1.6e-12,33.4,0.0,34.5,0.0,98.18,22.12,KRP1_SE055_G12_cluster1_Orange,Orange
83,ID_2,,1,,0,1,29,KRP155G12c1Orange,1,MLMIBEPP_00030,-,-,25379,26779,466,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,5.2e-30,3.3e-30,90.5,0.0,91.1,0.0,93.24,41.85,KRP1_SE055_G12_cluster1_Orange,Orange
84,,,2,,1,1,1275,KRP155G12c1Orange,1,MLMIBEPP_01300,-,+,1208942,1209973,343,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO82259,379.0,273.0,57.0,290.0,80.0,346.0,26.01,5.44e-11,56.6,68.22,70.45,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,1.7000000000000002e-22,5.3e-23,66.2,0.0,67.8,0.0,84.88,41.69,KRP1_SE055_G12_cluster1_Orange,Orange
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KRP1_SE055_G12_cluster2_cluster1_Green,Green
86,,__IMEICEID_BasicEMStructure__1__,1,The SP KNPJGFHB_00684 seems to be an isolated coupling protein and is therefore not reported as an ICE / IME structure by ICEscreen. Please manually check if it is a false positive or for the potential presence of other undetected SP in its genomic neighborhood.,0,1,673,KRP155G12c2c3sulfuri,1,KNPJGFHB_00684,-,-,634511,635914,467,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,1.1e-29,3.9e-30,89.4,0.2,90.9,0.4,86.04,38.33,KRP1_SE055_G12_cluster2_cluster3_sulfuri,sulfuri
87,,,2,,1,1,1206,KRP155G12c2c3sulfuri,1,KNPJGFHB_01226,-,-,1148515,1150077,520,-,Serine integrase,Serine integrase,Serine integrase,AAO82010,537.0,527.0,3.0,472.0,8.0,508.0,25.81,1.2399999999999999e-28,111.0,90.38,93.3,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Serine integrase,Serine recombinase,Recombinase,104,7.1e-18,3.2e-18,51.3,2.0,52.4,3.0,100.0,16.73,KRP1_SE055_G12_cluster2_cluster3_sulfuri,sulfuri
88,,__IMEICEID_BasicEMStructure__1__,1,The SP NCKJBHPN_00242 seems to be an isolated coupling protein and is therefore not reported as an ICE / IME structure by ICEscreen. Please manually check if it is a false positive or for the potential presence of other undetected SP in its genomic neighborhood.,0,1,235,KRP157G03c1veneni,1,NCKJBHPN_00242,-,-,230552,231946,464,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,8.9e-31,5.5e-31,93.0,0.2,93.6,0.2,89.19,39.44,KRP1_SE057_G03_cluster1_veneni,veneni
89,ID_1,,2,Upstream integrase NCKJBHPN_01193 has been associated to the structure ID_1 pre-merging because it is adjacent to the conj module and there is no upstream/downstream ambiguity. ,0,1,1172,KRP157G03c1veneni,1,NCKJBHPN_01193,-,+,1154497,1155675,392,-,Tyrosine integrase,,,,,,,,,,,,,,,,,,,,,,,,,,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,6.1e-07,3.3e-07,15.6,0.0,16.4,0.0,68.02,32.4,KRP1_SE057_G03_cluster1_veneni,veneni
90,ID_1,,2,,0,1,1249,KRP157G03c1veneni,1,NCKJBHPN_01271,-,+,1233500,1235053,517,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp1,110,9.2e-06,3.5e-06,12.7,0.0,14.0,0.0,43.64,11.22,KRP1_SE057_G03_cluster1_veneni,veneni
91,,,1,,0,1,144,KRP157G05c2veneni,1,ADEEELBN_00151,-,+,142048,143226,392,-,Tyrosine integrase,,,,,,,,,,,,,,,,,,,,,,,,,,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,6.1e-07,3.3e-07,15.6,0.0,16.4,0.0,68.02,32.4,KRP1_SE057_G05_cluster2_veneni,veneni
92,,__IMEICEID_BasicEMStructure__1__,2,The SP ADEEELBN_00739 seems to be an isolated coupling protein and is therefore not reported as an ICE / IME structure by ICEscreen. Please manually check if it is a false positive or for the potential presence of other undetected SP in its genomic neighborhood.,0,1,725,KRP157G05c2veneni,1,ADEEELBN_00739,-,+,692333,693727,464,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,8.9e-31,5.5e-31,93.0,0.2,93.6,0.2,89.19,39.44,KRP1_SE057_G05_cluster2_veneni,veneni
93,,__IMEICEID_BasicEMStructure__2__,3,The SP ADEEELBN_01403 seems to be an isolated coupling protein and is therefore not reported as an ICE / IME structure by ICEscreen. Please manually check if it is a false positive or for the potential presence of other undetected SP in its genomic neighborhood.,0,1,1372,KRP157G05c2veneni,1,ADEEELBN_01403,-,+,1324193,1325746,517,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp1,110,9.2e-06,3.5e-06,12.7,0.0,14.0,0.0,43.64,11.22,KRP1_SE057_G05_cluster2_veneni,veneni
94,,,1,,0,1,918,KRP157G07c1veneni,1,FFAGHAAH_00938,-,+,864319,865497,392,-,Tyrosine integrase,,,,,,,,,,,,,,,,,,,,,,,,,,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,6.1e-07,3.3e-07,15.6,0.0,16.4,0.0,68.02,32.4,KRP1_SE057_G07_cluster1_veneni,veneni
95,,__IMEICEID_BasicEMStructure__1__,2,The SP FFAGHAAH_01071 seems to be an isolated coupling protein and is therefore not reported as an ICE / IME structure by ICEscreen. Please manually check if it is a false positive or for the potential presence of other undetected SP in its genomic neighborhood.,0,1,1049,KRP157G07c1veneni,1,FFAGHAAH_01071,-,+,996338,997732,464,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,8.9e-31,5.5e-31,93.0,0.2,93.6,0.2,89.19,39.44,KRP1_SE057_G07_cluster1_veneni,veneni
96,,__IMEICEID_BasicEMStructure__2__,3,The SP FFAGHAAH_01298 seems to be an isolated coupling protein and is therefore not reported as an ICE / IME structure by ICEscreen. Please manually check if it is a false positive or for the potential presence of other undetected SP in its genomic neighborhood.,0,1,1270,KRP157G07c1veneni,1,FFAGHAAH_01298,-,-,1204972,1206525,517,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp1,110,9.2e-06,3.5e-06,12.7,0.0,14.0,0.0,43.64,11.22,KRP1_SE057_G07_cluster1_veneni,veneni
97,,,1,,1,1,295,KRP157G07c2sulfuri,1,DFDFDICK_00299,-,+,282812,284374,520,-,Serine integrase,Serine integrase,Serine integrase,AAO82010,537,527,3,472,8,508,25.81,1.2399999999999999e-28,111.0,90.38,93.3,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Serine integrase,Serine recombinase,Recombinase,104,7.1e-18,3.2e-18,51.3,2.0,52.4,3.0,100.0,16.73,KRP1_SE057_G07_cluster2_sulfuri,sulfuri
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KRP1_SE057_G10_cluster1_sulfuri,sulfuri
99,,,1,,0,1,473,KRP157G10c2veneni,1,LOJAIKDJ_00489,-,+,456567,457745,392,-,Tyrosine integrase,,,,,,,,,,,,,,,,,,,,,,,,,,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,6.1e-07,3.3e-07,15.6,0.0,16.4,0.0,68.02,32.4,KRP1_SE057_G10_cluster2_veneni,veneni
100,,__IMEICEID_BasicEMStructure__1__,2,The SP LOJAIKDJ_01015 seems to be an isolated coupling protein and is therefore not reported as an ICE / IME structure by ICEscreen. Please manually check if it is a false positive or for the potential presence of other undetected SP in its genomic neighborhood.,0,1,993,KRP157G10c2veneni,1,LOJAIKDJ_01015,-,+,978443,979837,464,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,8.9e-31,5.5e-31,93.0,0.2,93.6,0.2,89.19,39.44,KRP1_SE057_G10_cluster2_veneni,veneni
101,,__IMEICEID_BasicEMStructure__2__,3,The SP LOJAIKDJ_01391 seems to be an isolated coupling protein and is therefore not reported as an ICE / IME structure by ICEscreen. Please manually check if it is a false positive or for the potential presence of other undetected SP in its genomic neighborhood.,0,1,1362,KRP157G10c2veneni,1,LOJAIKDJ_01391,-,-,1300535,1302088,517,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp1,110,9.2e-06,3.5e-06,12.7,0.0,14.0,0.0,43.64,11.22,KRP1_SE057_G10_cluster2_veneni,veneni
102,,__IMEICEID_BasicEMStructure__1__,1,The SP DKBCGEEL_00243 seems to be an isolated coupling protein and is therefore not reported as an ICE / IME structure by ICEscreen. Please manually check if it is a false positive or for the potential presence of other undetected SP in its genomic neighborhood.,0,1,236,KRP157G12c1veneni,1,DKBCGEEL_00243,-,-,230199,231593,464,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,8.9e-31,5.5e-31,93.0,0.2,93.6,0.2,89.19,39.44,KRP1_SE057_G12_cluster1_veneni,veneni
103,ID_1,,2,Upstream integrase DKBCGEEL_01283 has been associated to the structure ID_1 pre-merging because it is adjacent to the conj module and there is no upstream/downstream ambiguity. ,0,1,1255,KRP157G12c1veneni,1,DKBCGEEL_01283,-,+,1194881,1196059,392,-,Tyrosine integrase,,,,,,,,,,,,,,,,,,,,,,,,,,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,6.1e-07,3.3e-07,15.6,0.0,16.4,0.0,68.02,32.4,KRP1_SE057_G12_cluster1_veneni,veneni
104,ID_1,,2,,0,1,1332,KRP157G12c1veneni,1,DKBCGEEL_01361,-,+,1273884,1275437,517,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp1,110,9.2e-06,3.5e-06,12.7,0.0,14.0,0.0,43.64,11.22,KRP1_SE057_G12_cluster1_veneni,veneni
105,,,1,,1,1,1150,KRP157G12c2sulfuri,1,CHKNALBL_01169,-,+,1101386,1102948,520,-,Serine integrase,Serine integrase,Serine integrase,AAO82010,537,527,3,472,8,508,25.81,1.2399999999999999e-28,111.0,90.38,93.3,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Serine integrase,Serine recombinase,Recombinase,104,7.1e-18,3.2e-18,51.3,2.0,52.4,3.0,100.0,16.73,KRP1_SE057_G12_cluster2_sulfuri,sulfuri
106,ID_1,,1,,0,1,1267,KRP157G17c1Yellow,1,FLKINKEO_01300,-,+,1190809,1193079,756,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,4.2e-17,2.1e-17,48.3,0.0,49.2,0.0,93.69,26.98,KRP1_SE057_G17_cluster1_Yellow,Yellow
107,ID_1,,1,,1,1,1297,KRP157G17c1Yellow,1,FLKINKEO_01330,-,-,1217518,1220034,838,-,VirB4,VirB4,VirB4,AEJ26068,783.0,396.0,161.0,526.0,136.0,508.0,25.25,2.01e-09,54.3,43.68,47.64,VirB4,ICE,Tn5252,-,-,-,-,-,-,validated,no,VirB4,VirB4,T4SS_virb4,943,1.6e-115,1.4e-115,373.4,0.5,373.6,0.5,79.43,96.54,KRP1_SE057_G17_cluster1_Yellow,Yellow
