Accession	Source Database	Name	Tax ID	Tax Name	Length	Entry Accession	Matches
A0A1I4J677	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	44574	Nitrosomonas communis	582	IPR009188	1..581
A0A1I4R0C0	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	52442	Nitrosomonas nitrosa	575	IPR009188	1..575
A0A1I4SHB6	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	1761903	Streptomyces sp. cf124	646	IPR009188	40..635
A0A1I5HJ38	unreviewed	Formyl transferase	1566189	Pseudomonas sp. NFACC24-1	572	IPR009188	4..572
A0A1I5UIX0	unreviewed	Methionyl-tRNA formyltransferase	1566271	Variovorax sp. 770b2	573	IPR009188	1..571
A0A1I6LM24	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	1855292	Dyella sp. OK004	563	IPR009188	1..557
A0A1J0ES77	unreviewed	Formyl transferase	104087	Pseudomonas frederiksbergensis	572	IPR009188	4..570
A0A1J5BY11	unreviewed	Hydrogenase maturation protein	1805051	Betaproteobacteria bacterium CG2_30_68_42	585	IPR009188	1..580
A0A1J5C751	unreviewed	Hydrogenase maturation protein	1805090	Comamonadaceae bacterium CG2_30_59_20	565	IPR009188	1..563
A0A1J5CHD5	unreviewed	Hydrogenase maturation protein	1805089	Comamonadaceae bacterium CG2_30_57_122	598	IPR009188	1..596
A0A1J5RTP1	unreviewed	Methionyl-tRNA formyltransferase	410659	mine drainage metagenome	550	IPR009188	1..549
A0A1J5SJI0	unreviewed	Methionyl-tRNA formyltransferase	410659	mine drainage metagenome	570	IPR009188	1..569
A0A1K0FL42	unreviewed	Formyl transferase	56427	Couchioplanes caeruleus subsp. caeruleus	595	IPR009188	1..575
A0A1K1SXT7	unreviewed	Methionyl-tRNA formyltransferase	1554560	Pseudomonas sp. NFACC16-2	572	IPR009188	4..572
A0A1K1UEW3	unreviewed	Formyl transferase	1566199	Pseudomonas sp. NFACC47-1	572	IPR009188	4..572
A0A1K2CB86	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	1893	Streptomyces atratus	561	IPR009188	1..554
A0A1K2FKA7	unreviewed	Methionyl-tRNA formyltransferase	463642	Streptomyces sp. F-1	569	IPR009188	1..567
A0A1L7GLG7	unreviewed	Hydrogenase maturation protein	234612	Streptomyces sp. TN58	580	IPR009188	1..571
A0A1M3LLC5	unreviewed	Formyl transferase N-terminal domain-containing protein	1895778	Magnetospirillum sp. 64-120	541	IPR009188	1..540
A0A1M4EC39	unreviewed	Methionyl-tRNA formyltransferase	93944	Nonomuraea gerenzanensis	547	IPR009188	1..546
A0A1M5B241	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	996115	Ruegeria intermedia	556	IPR009188	1..556
A0A1M5TRZ5	unreviewed	Formyl transferase C-terminal domain-containing protein	1882757	Streptomyces sp. 3214.6	593	IPR009188	1..582
A0A1M7NQX3	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	134849	Cryptosporangium aurantiacum	600	IPR009188	27..598
A0A1N6WE61	unreviewed	Formyl transferase C-terminal domain-containing protein	34027	Aromatoleum tolulyticum	638	IPR009188	1..634
A0A1Q3VQR7	unreviewed	Hydrogenase maturation protein	1895689	Candidatus Accumulibacter sp. 66-26	588	IPR009188	1..586
A0A1Q4VQF8	unreviewed	Hydrogenase maturation protein	1703924	Streptomyces sp. CB02056	572	IPR009188	1..572
A0A1Q4WA00	unreviewed	Hydrogenase maturation protein	1703924	Streptomyces sp. CB02056	562	IPR009188	1..562
A0A1Q5JWI7	unreviewed	Hydrogenase maturation protein	1703942	Streptomyces sp. TSRI0107	571	IPR009188	1..570
A0A1Q5KG97	unreviewed	Formyl transferase C-terminal domain-containing protein	1703943	Streptomyces sp. CB01883	575	IPR009188	1..568
A0A1Q5N6S3	unreviewed	Formyl transferase C-terminal domain-containing protein	1703927	Streptomyces sp. CB00455	597	IPR009188	1..583
A0A1Q8ENH5	unreviewed	Formyl transferase	587753	Pseudomonas chlororaphis	572	IPR009188	4..571
A0A1R0LBF7	unreviewed	Formyl transferase C-terminal domain-containing protein	1776340	Streptomyces sp. IMTB 2501	569	IPR009188	1..565
A0A1R1I353	unreviewed	Hydrogenase maturation protein	418702	Azonexus hydrophilus	558	IPR009188	1..556
A0A1R1LX63	unreviewed	Hydrogenase maturation protein	1897630	Motiliproteus sp. MSK22-1	586	IPR009188	1..586
A0A1R4H8K1	unreviewed	Hydrogenase maturation factor HoxX	360316	Crenothrix polyspora	594	IPR009188	1..593
A0A1R4HGK1	unreviewed	Hydrogenase maturation factor HoxX	360316	Crenothrix polyspora	597	IPR009188	1..594
A0A1R4HGZ4	unreviewed	Formyl transferase C-terminal domain-containing protein	360316	Crenothrix polyspora	555	IPR009188	1..555
A0A1S1T3E6	unreviewed	Hydrogenase maturation protein	1848292	Ensifer sp. LCM 4579	562	IPR009188	1..560
A0A1S1X2I6	unreviewed	Formyl transferase C-terminal domain-containing protein	1903179	Chromobacterium sphagni	566	IPR009188	4..566
A0A1S2KDH8	unreviewed	Formyl transferase C-terminal domain-containing protein	1906740	Streptomyces sp. CC53	578	IPR009188	1..575
A0A1S2KGN3	unreviewed	Formyl transferase C-terminal domain-containing protein	1906739	Streptomyces sp. CC77	578	IPR009188	1..575
A0A1S2P4B6	unreviewed	Formyl transferase C-terminal domain-containing protein	1354889	Streptomyces sp. MUSC 14	574	IPR009188	1..571
A0A1S2QGN4	unreviewed	Formyl transferase C-terminal domain-containing protein	1678012	Streptomyces monashensis	574	IPR009188	1..572
A0A1S2UHH7	unreviewed	Formyl transferase	168469	Pseudomonas costantinii	572	IPR009188	4..570
A0A1S7LC84	unreviewed	Hydrogenase maturation factor hoxX. Methionyl-tRNA formyltransferase	451514	Magnetococcus massalia (strain MO-1)	569	IPR009188	1..569
A0A1T1IES6	unreviewed	Formyl transferase	1960827	Pseudomonas sp. MF4836	572	IPR009188	4..570
A0A1T2KTE2	unreviewed	Hydrogenase maturation protein	1918948	Solemya velesiana gill symbiont	567	IPR009188	1..567
A0A1U9P4T0	unreviewed	Hydrogenase maturation protein	1812480	Streptomyces sp. fd1-xmd	595	IPR009188	1..585
A0A1U9QTZ8	unreviewed	Hydrogenase maturation protein	193462	Streptomyces niveus	585	IPR009188	1..581
A0A1U9ZXL8	unreviewed	Formyl transferase C-terminal domain-containing protein	1909395	[Actinomadura] parvosata subsp. kistnae	567	IPR009188	1..566
A0A1V0QWX0	unreviewed	Formyl transferase C-terminal domain-containing protein	1972846	Streptomyces sp. Sge12	581	IPR009188	1..570
A0A1V0TM41	unreviewed	Hydrogenase maturation protein	553510	Streptomyces gilvosporeus	565	IPR009188	1..564
A0A1V2IPS2	unreviewed	Formyl transferase C-terminal domain-containing protein	1834514	Protofrankia sp. BMG5.30	599	IPR009188	1..578
A0A1V3SEQ6	unreviewed	Hydrogenase maturation protein	1945864	Hydrogenophaga sp. A37	584	IPR009188	4..584
A0A1V4CDS4	unreviewed	Hydrogenase maturation protein	1882399	Hydrogenophaga sp. H7	580	IPR009188	3..580
A0A1V6MXA9	unreviewed	Formyl transferase C-terminal domain-containing protein	114686	Streptomyces phaeoluteigriseus	582	IPR009188	1..571
A0A1W0D3E3	unreviewed	Formyl transferase	394935	Chromobacterium haemolyticum	566	IPR009188	4..566
A0A1W2GPH3	unreviewed	Methionyl-tRNA formyltransferase	692418	Reichenbachiella faecimaris	575	IPR009188	1..558
A0A1W6CSS4	unreviewed	Hydrogenase maturation protein	1639348	Magnetospirillum sp. ME-1	550	IPR009188	1..549
A0A1W6MQL8	unreviewed	Hydrogenase maturation protein	655015	Methylocystis bryophila	615	IPR009188	1..597
A0A1W9H331	unreviewed	Hydrogenase maturation protein	1827381	Proteobacteria bacterium SG_bin4	566	IPR009188	1..566
A0A1W9X0U3	unreviewed	Formyl transferase C-terminal domain-containing protein	1972449	Candidatus Parabeggiatoa sp. nov. 2	615	IPR009188	1..615
A0A1X7F5N1	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	1305826	Streptomyces sp. Amel2xC10	599	IPR009188	13..587
A0A1Y0G174	unreviewed	Hydrogenase maturation protein	1987723	Cellvibrio sp. PSBB006	574	IPR009188	1..573
A0A1Y2ZYU2	unreviewed	Formyl transferase C-terminal domain-containing protein	1880899	Crenothrix sp. D3	597	IPR009188	1..594
A0A202BG06	unreviewed	Formyl transferase	536	Chromobacterium violaceum	565	IPR009188	4..565
A0A221P759	unreviewed	Formyl transferase C-terminal domain-containing protein	1355015	Streptomyces pluripotens	571	IPR009188	1..569
A0A222F9M8	unreviewed	Hydrogenase maturation protein	2021862	Labrenzia sp. VG12	564	IPR009188	1..564
A0A229SZW4	unreviewed	Formyl transferase C-terminal domain-containing protein	1905142	Amycolatopsis vastitatis	562	IPR009188	1..555
A0A231HAX7	unreviewed	4-chlorobenzoyl coenzyme A dehalogenase-1	85688	Nocardia cerradoensis	581	IPR009188	18..581
A0A231PPV6	unreviewed	Formyl transferase C-terminal domain-containing protein	2021410	Streptomyces sp. XY006	581	IPR009188	1..578
A0A233RYZ7	unreviewed	Formyl transferase C-terminal domain-containing protein	42236	Streptomyces diastatochromogenes	575	IPR009188	1..573
A0A238D195	unreviewed	Hydrogenase maturation factor HoxX	364030	Thiomonas delicata	575	IPR009188	6..574
A0A238XF73	unreviewed	Formyl transferase C-terminal domain-containing protein	52697	Actinoplanes regularis	596	IPR009188	1..567
A0A239LZP5	unreviewed	Hydrogenase maturation protein	235986	Actinacidiphila glaucinigra	570	IPR009188	1..570
A0A243SB87	unreviewed	Hydrogenase maturation protein	487165	Streptomyces swartbergensis	581	IPR009188	1..579
A0A250DGF5	unreviewed	Hydrogenase maturation protein	436515	Variovorax boronicumulans	570	IPR009188	1..568
A0A250V5N4	unreviewed	Hydrogenase maturation protein	1963	Streptomyces olivochromogenes	605	IPR009188	1..583
A0A254MZF3	unreviewed	Formyl transferase N-terminal domain-containing protein	431059	Roseateles puraquae	586	IPR009188	5..586
A0A254TN08	unreviewed	Hydrogenase maturation protein	1968433	Noviherbaspirillum denitrificans	577	IPR009188	1..577
A0A255PVH0	unreviewed	Formyl transferase C-terminal domain-containing protein	2015515	Streptomyces sp. FBKL.4005	569	IPR009188	1..566
A0A263DJM1	unreviewed	Formyl transferase C-terminal domain-containing protein	1854588	Pseudonocardia sp. MH-G8	582	IPR009188	1..578
A0A263NST5	unreviewed	Formyl transferase	1702250	Pseudomonas sp. IB20	572	IPR009188	4..570
A0A271LHU3	unreviewed	Hydrogenase maturation protein	241416	Mesorhizobium temperatum	561	IPR009188	1..561
A0A285BN63	unreviewed	Putative two-component system hydrogenase maturation factor HypX/HoxX	1938861	Streptomyces sp. TLI_55	593	IPR009188	1..582
A0A285IUE3	unreviewed	Formyl transferase C-terminal domain-containing protein	1036182	Paractinoplanes atraurantiacus	580	IPR009188	4..572
A0A285P0V8	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	35835	Hydrogenobacter hydrogenophilus	563	IPR009188	1..563
A0A285PI89	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	372072	Cohaesibacter gelatinilyticus	578	IPR009188	1..574
A0A285QKY3	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	1938835	Streptomyces sp. 1331.2	570	IPR009188	1..569
A0A286ASY7	unreviewed	Formyl transferase C-terminal domain-containing protein	1884383	Variovorax sp. YR752	572	IPR009188	1..571
A0A286CA75	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	1938853	Streptomyces sp. Ag82_G6-1	581	IPR009188	1..580
A0A286G6A9	unreviewed	Formyl transferase C-terminal domain-containing protein	1938850	Streptomyces sp. Ag109_G2-15	575	IPR009188	1..573
A0A291RMD8	unreviewed	Hydrogenase maturation protein	455432	Nocardia terpenica	564	IPR009188	1..564
A0A292EAT0	unreviewed	Hydrogenase maturation protein	1571470	Rhizobium sp. ACO-34A	561	IPR009188	1..561
A0A2A2DZJ6	unreviewed	Formyl transferase	1949067	Pseudomonas sp. PICF141	572	IPR009188	4..570
A0A2A2PT64	unreviewed	Formyl transferase	321662	Pseudomonas moraviensis	572	IPR009188	4..571
A0A2A3J0I0	unreviewed	Putative two-component system hydrogenase maturation factor HypX/HoxX	1938855	Streptomyces sp. Ag82_O1-15	603	IPR009188	1..584
A0A2A4RXW1	unreviewed	Hydrogenase maturation protein	2026796	Thiotrichales bacterium	574	IPR009188	1..574
A0A2A4UHP6	unreviewed	Hydrogenase maturation protein	1977087	Pseudomonadota bacterium	565	IPR009188	1..565
A0A2A4W7U7	unreviewed	Hydrogenase maturation protein	2030882	Thiotrichaceae bacterium	597	IPR009188	24..597
A0A2A5F158	unreviewed	Hydrogenase maturation protein	1904441	Paracoccaceae bacterium	544	IPR009188	1..544
A0A2A5HX08	unreviewed	Hydrogenase maturation protein	1916082	Alteromonadaceae bacterium	566	IPR009188	1..564
A0A2A5JC45	unreviewed	HoxX	334542	Rhodococcus qingshengii	597	IPR009188	62..597
A0A2A6PWF1	unreviewed	Hydrogenase maturation protein	2035447	Bradyrhizobium sp. Y36	566	IPR009188	1..566
A0A2B8ASQ9	unreviewed	Formyl transferase C-terminal domain-containing protein	2044307	Streptomyces sp. Ru87	572	IPR009188	1..564
A0A2C5VKF4	unreviewed	Formyl transferase	303	Pseudomonas putida	572	IPR009188	4..571
A0A2C9EP93	unreviewed	Hydrogenase maturation factor HoxX	1124983	Pseudomonas protegens (strain DSM 19095 / LMG 27888 / CFBP 6595 / CHA0)	575	IPR009188	4..573
A0A2D0I7Z8	unreviewed	Hydrogenase	2027917	Sulfuricurvum sp. PD_MW2	562	IPR009188	1..562
A0A2E2KLU0	unreviewed	Hydrogenase maturation protein	1899355	Oceanospirillaceae bacterium	585	IPR009188	1..585
A0A2E3SNW9	unreviewed	Hydrogenase maturation protein	1898104	Bacteroidota bacterium	548	IPR009188	1..548
A0A2E6RIH8	unreviewed	Hydrogenase maturation protein	2006849	Lysobacterales bacterium	574	IPR009188	1..573
A0A2G0YG87	unreviewed	Formyl transferase	1718920	Pseudomonas sp. ICMP 8385	572	IPR009188	4..569
A0A2G1XNZ8	unreviewed	Hydrogenase maturation protein	53446	Streptomyces cinnamoneus	579	IPR009188	1..574
A0A2G2K3H6	unreviewed	Hydrogenase maturation protein	1965332	Kordia sp.	569	IPR009188	1..567
A0A2G5IUQ2	unreviewed	Hydrogenase maturation protein	1958787	Streptomyces sp. HG99	590	IPR009188	1..587
A0A2G5LLJ9	unreviewed	Formyl transferase	1712677	Pseudomonas sp. 2822-15	572	IPR009188	4..571
A0A2G6WYG9	unreviewed	Formyl transferase C-terminal domain-containing protein	2035212	Variovorax sp. 54	570	IPR009188	1..568
A0A2H0J4S8	unreviewed	Formyl transferase C-terminal domain-containing protein	1973952	Comamonadaceae bacterium CG12_big_fil_rev_8_21_14_0_65_59_15	575	IPR009188	1..574
A0A2H5B435	unreviewed	Hydrogenase maturation protein	2018025	Kitasatospora sp. MMS16-BH015	575	IPR009188	1..572
A0A2H5E039	unreviewed	Formyl transferase	2059672	Chromobacterium sp. (strain ATCC 53434 / SC 14030)	565	IPR009188	4..565
A0A2K1PY46	unreviewed	Formyl transferase	1645665	Solilutibacter silvestris	575	IPR009188	3..574
A0A2K2VJ12	unreviewed	Hydrogenase	2022749	Sulfurimonas sp.	552	IPR009188	1..552
A0A2K4FPB3	unreviewed	Formyl transferase	2075549	Pseudomonas sp. MPBD7-1	572	IPR009188	4..572
A0A2K4IQU8	unreviewed	Formyl transferase	2075548	Pseudomonas sp. MPR-ANC1	572	IPR009188	4..571
A0A2K8PMZ4	unreviewed	Methionyl-tRNA formyltransferase	58340	Streptomyces lavendulae subsp. lavendulae	585	IPR009188	1..575
A0A2K9L6Y8	unreviewed	Hydrogenase maturation protein	1898103	Rhodocyclaceae bacterium	576	IPR009188	1..572
A0A2K9ZHW1	unreviewed	Formyl transferase C-terminal domain-containing protein	384	Rhizobium leguminosarum	561	IPR009188	1..561
A0A2L0N3L7	unreviewed	Hydrogenase maturation protein	2078691	Streptomyces sp. CB01881	570	IPR009188	1..569
A0A2L0N9P9	unreviewed	Hydrogenase maturation protein	2078691	Streptomyces sp. CB01881	563	IPR009188	1..560
A0A2L0RWF1	unreviewed	Formyl transferase	76758	Pseudomonas orientalis	579	IPR009188	4..576
A0A2L1J6A8	unreviewed	Formyl transferase	191390	Pseudomonas palleroniana	572	IPR009188	4..570
A0A2M6U9T2	unreviewed	Hydrogenase maturation protein	709803	Bradyrhizobium nitroreducens	566	IPR009188	1..566
A0A2M7FMI6	unreviewed	Formyl transferase C-terminal domain-containing protein	1973953	Comamonadaceae bacterium CG17_big_fil_post_rev_8_21_14_2_50_60_13	505	IPR009188	1..505
A0A2M7MRA0	unreviewed	Formyl transferase N-terminal domain-containing protein	1974028	Hydrogenophilales bacterium CG_4_10_14_3_um_filter_63_21	560	IPR009188	1..556
A0A2M7Y3I4	unreviewed	Hydrogenase maturation protein	1974089	Rhodocyclales bacterium CG_4_9_14_3_um_filter_68_10	585	IPR009188	1..580
A0A2M8BMP4	unreviewed	Hydrogenase maturation protein	1973951	Comamonadaceae bacterium CG_4_9_14_3_um_filter_60_33	565	IPR009188	1..563
A0A2M8E7I4	unreviewed	Formyl transferase C-terminal domain-containing protein	1973950	Comamonadaceae bacterium CG_4_9_14_0_8_um_filter_60_18	565	IPR009188	1..565
A0A2M8E8Q0	unreviewed	Hydrogenase maturation protein	1973949	Comamonadaceae bacterium CG_4_9_14_0_8_um_filter_57_21	598	IPR009188	1..596
A0A2M8R6H9	unreviewed	Hydrogenase maturation protein	1419263	Bradyrhizobium forestalis	566	IPR009188	1..566
A0A2M9IDU6	unreviewed	Formyl transferase C-terminal domain-containing protein	2020325	Streptomyces sp. CB01373	569	IPR009188	1..565
A0A2M9JYP5	unreviewed	Hydrogenase maturation protein	2020326	Streptomyces sp. CB01635	569	IPR009188	1..568
A0A2M9KHX0	unreviewed	Hydrogenase maturation protein	2020327	Streptomyces sp. CB02120-2	595	IPR009188	5..574
A0A2M9MA02	unreviewed	Hydrogenase maturation protein	2020330	Streptomyces sp. CB02959	577	IPR009188	1..576
A0A2N1E1N0	unreviewed	Formyl transferase	294	Pseudomonas fluorescens	579	IPR009188	4..577
A0A2N1J088	unreviewed	Hydrogenase	197482	Malaciobacter halophilus	549	IPR009188	1..549
A0A2N1XEV2	unreviewed	Hydrogenase maturation protein	2013800	Gammaproteobacteria bacterium HGW-Gammaproteobacteria-4	558	IPR009188	1..558
A0A2N1Y1U1	unreviewed	Hydrogenase maturation protein	2013798	Gammaproteobacteria bacterium HGW-Gammaproteobacteria-2	558	IPR009188	1..558
A0A2N2QXC6	unreviewed	Hydrogenase maturation protein	2013719	Betaproteobacteria bacterium HGW-Betaproteobacteria-7	558	IPR009188	1..556
A0A2N2T173	unreviewed	Hydrogenase maturation protein	2013709	Betaproteobacteria bacterium HGW-Betaproteobacteria-18	565	IPR009188	1..564
A0A2N2TMJ6	unreviewed	Hydrogenase maturation protein	2013705	Betaproteobacteria bacterium HGW-Betaproteobacteria-14	598	IPR009188	1..598
A0A2N2UIV8	unreviewed	Hydrogenase maturation protein	2013704	Betaproteobacteria bacterium HGW-Betaproteobacteria-13	576	IPR009188	1..574
A0A2N2V9G1	unreviewed	Hydrogenase maturation protein	2013701	Betaproteobacteria bacterium HGW-Betaproteobacteria-10	558	IPR009188	1..556
A0A2N2VDZ0	unreviewed	Hydrogenase maturation protein	2013703	Betaproteobacteria bacterium HGW-Betaproteobacteria-12	558	IPR009188	1..556
A0A2N4SQL9	unreviewed	Hydrogenase maturation protein	2066034	Variovorax sp. RO1	570	IPR009188	1..568
A0A2N6BMF6	unreviewed	Hydrogenase maturation protein	1909294	Hyphomicrobiales bacterium	571	IPR009188	1..571
A0A2N6CTA9	unreviewed	Hydrogenase maturation protein	191960	Sedimenticola selenatireducens	568	IPR009188	1..567
A0A2N6GGA7	unreviewed	Hydrogenase maturation protein	1940285	Sedimenticola sp.	566	IPR009188	1..565
A0A2N7REJ5	unreviewed	4-chlorobenzoyl coenzyme A dehalogenase	396378	Pseudomonas sp. AD21	572	IPR009188	4..571
A0A2N8DTR1	unreviewed	Formyl transferase	2070616	Pseudomonas sp. FW215-R4	572	IPR009188	4..571
A0A2N8PJ26	unreviewed	Hydrogenase maturation protein	1971	Streptomyces noursei	578	IPR009188	1..576
A0A2N8TIG9	unreviewed	Formyl transferase C-terminal domain-containing protein	2070367	Streptomyces cahuitamycinicus	581	IPR009188	1..580
A0A2N9B1F9	unreviewed	Formyl transferase C-terminal domain-containing protein	1079985	Streptomyces chartreusis NRRL 3882	581	IPR009188	1..577
A0A2P5KAE7	unreviewed	Formyl transferase C-terminal domain-containing protein	417203	Mycetohabitans endofungorum	584	IPR009188	1..579
A0A2P7NYR9	unreviewed	Hydrogenase maturation protein	2116706	Nitrosomonas supralitoralis	579	IPR009188	14..579
A0A2P8LEI6	unreviewed	Formyl transferase	1390498	Pseudomonas sp. R9.37	572	IPR009188	4..571
A0A2P9EWD8	unreviewed	Methionyl-tRNA formyltransferase	2083010	Streptomyces sp. MA5143a	581	IPR009188	1..579
A0A2R2IVJ3	unreviewed	Formyl transferase	1777131	Chromobacterium sp. F49	567	IPR009188	4..567
A0A2R4JR41	unreviewed	Hydrogenase maturation protein	2135430	Streptomyces sp. P3	593	IPR009188	1..582
A0A2R5EKC7	unreviewed	Hydrogenase maturation factor HoxX	1765050	Azospira sp. I13	577	IPR009188	4..576
A0A2S0QUY9	unreviewed	Hydrogenase maturation protein	2080469	Zoogloeaceae bacteirum Par-f-2	576	IPR009188	1..575
A0A2S1SM82	unreviewed	Formyl transferase C-terminal domain-containing protein	2174846	Streptomyces tirandamycinicus	568	IPR009188	1..568
A0A2S4YFD6	unreviewed	Formyl transferase C-terminal domain-containing protein	2080747	Streptomyces sp. Ru72	586	IPR009188	1..571
A0A2S4Z230	unreviewed	Hydrogenase maturation protein	2080746	Streptomyces sp. Ru71	571	IPR009188	1..570
A0A2S4Z4C1	unreviewed	Formyl transferase C-terminal domain-containing protein	2080746	Streptomyces sp. Ru71	570	IPR009188	1..565
A0A2S4ZB57	unreviewed	Hydrogenase maturation protein	2080745	Streptomyces sp. Ru62	569	IPR009188	1..566
A0A2S6ADQ9	unreviewed	Hydrogenase maturation protein	37330	Nocardia nova	564	IPR009188	1..564
A0A2S6WI32	unreviewed	Hydrogenase maturation protein	1777322	Streptomyces sp. 46	581	IPR009188	1..579
A0A2S8HPA1	unreviewed	Formyl transferase	104087	Pseudomonas frederiksbergensis	572	IPR009188	4..570
A0A2S9B655	unreviewed	Formyl transferase	1848735	Pseudomonas sp. MYb3	572	IPR009188	4..571
A0A2T0I643	unreviewed	Formyl transferase	294	Pseudomonas fluorescens	575	IPR009188	4..573
A0A2T0KPU1	unreviewed	Formyl transferase C-terminal domain-containing protein	113567	Actinoplanes italicus	591	IPR009188	1..575
A0A2T0N243	unreviewed	Formyl transferase C-terminal domain-containing protein	1291556	Nonomuraea fuscirosea	567	IPR009188	1..566
A0A2T0S3V3	unreviewed	Formyl transferase C-terminal domain-containing protein	439699	Pseudosporangium ferrugineum	594	IPR009188	1..574
A0A2T2ZA48	unreviewed	Hydrogenase maturation protein	37330	Nocardia nova	564	IPR009188	1..564
A0A2T2ZGT8	unreviewed	Hydrogenase maturation protein	2135448	Nocardia sp. MDA0666	564	IPR009188	1..564
A0A2T4IJ54	unreviewed	Hydrogenase maturation protein	2136175	Pseudothauera lacus	576	IPR009188	1..575
A0A2T4IKY1	unreviewed	Hydrogenase maturation protein	1776423	Mesorhizobium helmanticense	556	IPR009188	1..555
A0A2T4N9H1	unreviewed	Formyl transferase C-terminal domain-containing protein	2137016	Streptomyces sp. A244	581	IPR009188	1..581
A0A2T5I082	unreviewed	Formyl transferase C-terminal domain-containing protein	42354	Nitrosomonas oligotropha	576	IPR009188	1..575
A0A2T5ND79	unreviewed	Formyl transferase	2161826	Chromobacterium sp. Panama	566	IPR009188	4..566
A0A2T6FCC0	unreviewed	Hydrogenase maturation protein	2133943	Glaciimonas sp. PCH181	588	IPR009188	1..587
A0A2T6GGU0	unreviewed	Formyl transferase	380021	Pseudomonas protegens	572	IPR009188	4..570
A0A2T6N1U1	unreviewed	Hydrogenase maturation protein	1968598	gamma proteobacterium symbiont of Ctena orbiculata	567	IPR009188	1..565
A0A2T6NKC2	unreviewed	Formyl transferase N-terminal domain-containing protein	1968598	gamma proteobacterium symbiont of Ctena orbiculata	567	IPR009188	1..567
A0A2T7TA24	unreviewed	Hydrogenase maturation protein	1440053	Streptomyces scopuliridis RB72	573	IPR009188	1..572
A0A2T9ZPA1	unreviewed	Hydrogenase maturation protein	1968598	gamma proteobacterium symbiont of Ctena orbiculata	567	IPR009188	1..566
A0A2U0ABC4	unreviewed	Hydrogenase maturation protein	1968598	gamma proteobacterium symbiont of Ctena orbiculata	567	IPR009188	1..565
A0A2U1RE27	unreviewed	Formyl transferase	2170733	Pseudomonas sp. NDM	575	IPR009188	4..574
A0A2U1WS10	unreviewed	Formyl transferase N-terminal domain-containing protein	716789	Azospirillum sp. TSO22-1	551	IPR009188	1..550
A0A2U2D5W9	unreviewed	Formyl transferase	1148509	Pseudomonas prosekii	572	IPR009188	4..571
A0A2U2ZDU1	unreviewed	Formyl transferase C-terminal domain-containing protein	2185284	Streptomyces sp. NWU339	577	IPR009188	1..571
A0A2U3HA96	unreviewed	Hydrogenase maturation protein	2201153	Streptomyces sp. NWU49	555	IPR009188	1..555
A0A2U8GKH1	unreviewed	Hydrogenase maturation protein	41977	Parazoarcus communis	576	IPR009188	1..574
A0A2U8H3U2	unreviewed	Hydrogenase maturation protein	41977	Parazoarcus communis	576	IPR009188	1..574
A0A2V1GU02	unreviewed	Formyl transferase C-terminal domain-containing protein	2080658	Pelagibaculum spongiae	608	IPR009188	1..607
A0A2V2BAC9	unreviewed	Putative two-component system hydrogenase maturation factor HypX/HoxX	1882405	Streptomyces sp. CG 926	580	IPR009188	1..570
A0A2V4ARS1	unreviewed	Formyl transferase C-terminal domain-containing protein	588067	Prauserella muralis	555	IPR009188	1..553
A0A2V5K0B1	unreviewed	Hydrogenase maturation protein	2211139	Paenibacillus flagellatus	561	IPR009188	1..561
A0A2W0FIV2	unreviewed	Formyl transferase	2052591	Pseudomonas sp. TKO29	572	IPR009188	4..570
A0A2W2D329	unreviewed	Formyl transferase	2070368	Nonomuraea aridisoli	567	IPR009188	1..566
A0A2W4K0L7	unreviewed	Hydrogenase maturation protein	2053573	Margulisiibacteriota bacterium	565	IPR009188	1..565
A0A2W4RAK2	unreviewed	Hydrogenase maturation protein	2202197	Candidatus Methylumidiphilus alinenensis	606	IPR009188	1..587
A0A2W4RH89	unreviewed	Hydrogenase maturation protein	2202197	Candidatus Methylumidiphilus alinenensis	573	IPR009188	1..571
A0A2W5ZBI0	unreviewed	Formyl transferase C-terminal domain-containing protein	1909294	Hyphomicrobiales bacterium	635	IPR009188	1..604
A0A2W7C1Q0	unreviewed	Hydrogenase maturation protein	1300272	Mesorhizobium kowhaii	587	IPR009188	1..586
A0A2W7JJ91	unreviewed	Putative two-component system hydrogenase maturation factor HypX/HoxX	1261629	Pseudomonas sp. URMO17WK12:I6	572	IPR009188	4..570
A0A2X0IMH7	unreviewed	Hydrogenase maturation protein	2219663	Streptacidiphilus pinicola	574	IPR009188	1..573
A0A2X0IV93	unreviewed	Hydrogenase maturation protein	2219663	Streptacidiphilus pinicola	580	IPR009188	1..579
A0A2Z4ITG2	unreviewed	Hydrogenase maturation protein	2184053	Streptomyces cadmiisoli	574	IPR009188	1..572
